ACCT,3110,002,Intermediate Financial Acct I,31%,23%,20%,9%,9%,0%,0%,9%,0%,"Hawkins, Erin Michelle"
ACCT,3110,003,Intermediate Financial Acct I,13%,28%,33%,18%,10%,0%,0%,0%,0%,"Hawkins, Erin Michelle"
ACCT,3110,004,Intermediate Financial Acct I,38%,18%,23%,13%,3%,0%,0%,5%,0%,"Philo, Annieka C"
ACCT,3110,005,Intermediate Financial Acct I,43%,15%,33%,3%,5%,0%,0%,3%,0%,"Philo, Annieka C"
ACCT,3110,006,Intermediate Financial Acct I,38%,18%,28%,5%,0%,0%,0%,13%,0%,"Philo, Annieka C"
ACCT,3110,007,Intermediate Financial Acct I,20%,27%,34%,5%,5%,0%,0%,10%,0%,"Goodson, Brian Matthew"
ACCT,3110,008,Intermediate Financial Acct I,19%,45%,12%,12%,2%,0%,0%,10%,0%,"Goodson, Brian Matthew"
ACCT,3110,009,Intermediate Financial Acct I,23%,25%,38%,13%,3%,0%,0%,0%,0%,"Ledbetter, John Howard"
ACCT,3110,010,Intermediate Financial Acct I,18%,40%,33%,5%,0%,0%,0%,5%,0%,"Ledbetter, John Howard"
ACCT,3120,001,Intermediate Financial Acct II,31%,44%,17%,6%,3%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,3120,002,Intermediate Financial Acct II,45%,45%,8%,3%,0%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,3120,003,Intermediate Financial Acct II,32%,35%,24%,3%,5%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,004,Intermediate Financial Acct II,35%,39%,19%,0%,0%,0%,0%,6%,0%,"Knause, Terry Daniel"
ACCT,3120,005,Intermediate Financial Acct II,32%,32%,24%,0%,5%,0%,0%,8%,0%,"Knause, Terry Daniel"
ACCT,3120,006,Intermediate Financial Acct II,33%,45%,19%,2%,0%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,007,Intermediate Financial Acct II,22%,44%,28%,0%,0%,0%,0%,6%,0%,"Gibson, Mary Robinson"
ACCT,3120,008,Intermediate Financial Acct II,46%,28%,21%,0%,0%,0%,0%,5%,0%,"Gibson, Mary Robinson"
ACCT,3120,009,Intermediate Financial Acct II,38%,43%,10%,5%,0%,0%,0%,5%,0%,"Gibson, Mary Robinson"
ACCT,3120,104,Intermediate Fin Acct II (HON),67%,33%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3130,001,Analytics for Acct Dec Making,38%,42%,21%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,3130,002,Analytics for Acct Dec Making,51%,37%,11%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,3130,003,Analytics for Acct Dec Making,14%,56%,25%,3%,3%,0%,0%,0%,0%,"Mammadov, Babak"
ACCT,3130,004,Analytics for Acct Dec Making,17%,36%,36%,6%,3%,0%,0%,3%,0%,"Mammadov, Babak"
ACCT,3130,005,Analytics for Acct Dec Making,31%,43%,23%,3%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion"
ACCT,3130,006,Analytics for Acct Dec Making,34%,49%,17%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion"
ACCT,3130,007,Analytics for Acct Dec Making,29%,56%,12%,3%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion"
ACCT,3130,008,Analytics for Acct Dec Making,13%,53%,28%,8%,0%,0%,0%,0%,0%,"Mammadov, Babak"
ACCT,3130,009,Analytics for Acct Dec Making,40%,43%,18%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,3220,001,Accounting Information Systems,26%,42%,21%,5%,0%,0%,0%,5%,0%,"Polk, Ryan Christopher"
ACCT,3220,002,Accounting Information Systems,15%,48%,25%,10%,3%,0%,0%,0%,0%,"Polk, Ryan Christopher"
ACCT,3220,003,Accounting Information Systems,20%,55%,23%,0%,3%,0%,0%,0%,0%,"Polk, Ryan Christopher"
ACCT,3220,004,Accounting Information Systems,7%,26%,30%,19%,7%,0%,0%,11%,0%,"Maiberger, Philip A"
ACCT,4040,001,Individual Taxation,29%,58%,10%,2%,0%,0%,0%,0%,0%,"Gardner, Jesse"
ACCT,4040,002,Individual Taxation,30%,35%,28%,5%,0%,0%,0%,3%,0%,"Gardner, Jesse"
ACCT,4040,003,Individual Taxation,37%,39%,22%,0%,0%,0%,0%,2%,0%,"Yazzie, Courtney Elaine"
ACCT,4040,004,Individual Taxation,22%,44%,24%,4%,4%,0%,0%,2%,0%,"Yazzie, Courtney Elaine"
ACCT,4040,103,Individual Taxation (HON),67%,22%,11%,0%,0%,0%,0%,0%,0%,"Yazzie, Courtney Elaine"
ACCT,4080,001,Retire & Estate Plan,63%,37%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John Howard"
ACCT,4100,001,Reporting and Mgmt Control Sys,40%,43%,10%,3%,0%,0%,0%,5%,0%,"McPhee, Gregory Patrick"
ACCT,4100,002,Reporting and Mgmt Control Sys,32%,52%,10%,3%,3%,0%,0%,0%,0%,"McPhee, Gregory Patrick"
ACCT,4150,001,Auditing,50%,38%,13%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy Michael"
ACCT,4150,002,Auditing,45%,38%,18%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy Michael"
ACCT,8510,001,Tax Research,59%,38%,0%,0%,0%,0%,0%,3%,0%,"Garrison J, David Walter"
ACCT,8530,001,Adv Acct Problems,67%,24%,9%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne"
ACCT,8530,002,Adv Acct Problems,52%,32%,8%,0%,0%,0%,0%,8%,0%,"Pearse, Suzanne"
ACCT,8530,003,Adv Acct Problems,58%,25%,0%,0%,8%,0%,0%,8%,0%,"Pearse, Suzanne"
ACCT,8570,001,CPA Exam Review-B,0%,0%,0%,0%,0%,98%,0%,2%,0%,"Davis-Culler, Phebian L"
ACCT,8620,001,Financial Auditing,55%,45%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee"
ACCT,8620,002,Financial Auditing,71%,29%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee"
ACCT,8630,001,Forensics Analysis,57%,29%,14%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian L"
ACCT,8630,002,Forensics Analysis,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian L"
ACCT,8680,001,Advanced Accounting Analytics,56%,44%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A"
ACCT,8680,002,Advanced Accounting Analytics,30%,67%,0%,0%,4%,0%,0%,0%,0%,"Cussatt, Marc A"
ACCT,8680,003,Advanced Accounting Analytics,25%,58%,13%,0%,0%,0%,0%,4%,0%,"Cussatt, Marc A"
ACCT,8720,001,Tax of Flowthroughs,40%,40%,16%,0%,0%,0%,0%,4%,0%,"Garrison J, David Walter"
AGED,1020,001,Freshman Seminar,87%,7%,0%,0%,0%,0%,0%,7%,0%,"DiBenedetto, Catherine A"
AGED,2000,001,Agr Appl of Ed Tech,80%,7%,0%,0%,7%,0%,0%,7%,0%,"Layfield, Kevin D"
AGED,3030,001,Ag Ed Mech Tech,69%,25%,6%,0%,0%,0%,0%,0%,0%,"Cherry, Audie Lynn"
AGM,1010,001,Intro Ag Mech & Bus,71%,20%,4%,2%,4%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,2050,001,Prin of Fabrication,21%,55%,11%,6%,5%,0%,0%,3%,0%,"Massey, Hunter F"
AGM,2200,001,Calc for Mechanized Agricult,34%,26%,29%,11%,0%,0%,0%,0%,0%,"Turner, Aaron Paul"
AGM,2210,001,Land Measurements,55%,35%,10%,0%,0%,0%,0%,0%,0%,"Burkett, Charles Dillan"
AGM,3010,001,Soil Water Conserv,44%,32%,18%,4%,0%,0%,0%,1%,0%,"Sawyer, Calvin B"
AGM,3050,001,Agricultural Safety,82%,15%,0%,3%,0%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,4000,001,Seminar in Ag Mech & Business,67%,33%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul"
AGM,4040,001,Grain Handling and Storage,63%,30%,7%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul"
AGM,4060,001,Mech & Hydraulic Sys,21%,24%,53%,3%,0%,0%,0%,0%,0%,"Koc, Ali Bulent"
AGM,4600,001,Electrical Systems,49%,44%,8%,0%,0%,0%,0%,0%,0%,"McLamore, Eric S"
AGRB,2020,001,Agricultural Economics,19%,42%,23%,11%,3%,0%,0%,3%,0%,"Behler, Shane J"
AGRB,2050,001,Agriculture and Society,22%,30%,24%,15%,5%,0%,0%,5%,0%,"Vassalos, Michael"
AGRB,3570,001,Natural Resources Economics,13%,27%,17%,16%,12%,0%,0%,15%,0%,"Willis, David Brian"
AGRB,4080,001,Quant Agribusiness Analysis II,15%,23%,36%,23%,3%,0%,0%,0%,0%,"Thayer, Anastasia"
AGRB,4090,001,Commodity Futures Markets,6%,36%,33%,25%,0%,0%,0%,0%,0%,"Thayer, Anastasia"
AGRB,4120,001,Reg Econ Devel Theory & Policy,15%,28%,21%,26%,8%,0%,0%,3%,0%,"De Figueiredo Silva, Felipe"
